"cartodb_id","the_geom","the_geom_webmercator","uid","pubdate","volcano_name","country_name","description","sources"
1,"0101000020E6100000C3F5285C8FFA6440CDCCCCCCCCCC2EC0","0101000020110F0000BBC33CE237D171416D25A840AE7A3AC1","-15.400_167.830_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Ambae","Vanuatu","\nBased on observations from satellites, webcams, pilots, and the Vanuatu Geohazards Observatory (local community reports), the Wellington VAAC reported that during 11-14 April ash plumes from the vent at Ambae?s Lake Voui rose to altitudes of 1.8-4.9 km (6,000-16,000 ft) a.s.l. and drifted N, NW, W, and SE. On 12 April news articles noted that ashfall had affected the N part of Ambae, with photos showing thick ashfall deposits on houses and agricultural land, and reports of contaminated water supplies. On 15 April a VAAC office reported that the eruption has ceased. The Alert Level remained at 3 (on a scale of 0-5).\n"," ABC News - Australian Broadcasting Corporation,Wellington Volcanic Ash Advisory Center (VAAC) \n"
2,"0101000020E61000003D0AD7A3708D62409A999999991916C0","0101000020110F0000A76B5ADA66836F41B1C27B2977CC22C1","-5.525_148.420_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Langila","Papua New Guinea","\nBased on analyses of satellite imagery and wind model data, the Darwin VAAC reported that on 15 April a discrete, low-level ash plume from Langila rose to an altitude of 3.7 km (12,000 ft) a.s.l. and drifted S.\n"," Darwin Volcanic Ash Advisory Centre (VAAC)\n"
3,"0101000020E61000000C022B87169958405C8FC2F5285C0940","0101000020110F0000BAF9D16A1EE464417E90D3D39B8C1541","3.170_98.392_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Sinabung","Indonesia","\nPVMBG reported that at 0640 on 12 April an event at Sinabung generated an ash plume that rose 200 m and drifted WNW. At 1655 pyroclastic flows generated ash plumes that drifted WSW. At 0827 on 15 April an event generated an ash plume rose 1 km and drifted WNW. The Alert Level remained at 4 (on a scale of 1-4), with a general exclusion zone of 3 km and extensions of 7 km on the SSE sector, 6 km in the ESE sector, and 4 km in the NNE sector.\n"," Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
4,"0101000020E61000008D976E1283E05C40560E2DB29DAF20C0","0101000020110F00000EF7C27776866841846DA2138C712CC1","-8.343_115.508_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Agung","Indonesia","\nBased on webcam views, satellite data, and ground-based observations, the Darwin VAAC reported that on 11 April an event at Agung generated an ash plume that rose to an altitude of 3.7 km (12,000 ft) a.s.l. and drifted SW.\n"," Darwin Volcanic Ash Advisory Centre (VAAC),Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
5,"0101000020E61000001B2FDD24065560402B8716D9CE973F40","0101000020110F000024A9ACD6E3BD6B41807FC8A9194E4C41","31.593_130.657_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Aira","Japan","\nJMA reported that there were four events and nine explosions at Minamidake crater (at Aira Caldera?s Sakurajima volcano) during 9-16 April. Tephra was ejected as far as 1.3 km from the crater, and plumes rose as high as 2.5 km above the crater rim. Crater incandescence was visible on most nights. The Alert Level remained at 3 (on a 5-level scale).\n"," Japan Meteorological Agency (JMA) \n"
6,"0101000020E610000083C0CAA1456663403F355EBA498C18C0","0101000020110F00007A27173BDB79704188E29F8C7BE324C1","-6.137_155.196_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Bagana","Papua New Guinea","\nBased on analyses of satellite imagery and model data, the Darwin VAAC reported that during 14-15 April ash plumes from Bagana rose to altitudes of 2.1-2.4 km (7,000-8,000 ft) a.s.l. and drifted about 110 km SW. \n"," Darwin Volcanic Ash Advisory Centre (VAAC)\n"
7,"0101000020E610000091ED7C3F353E65C09A99999999694A40","0101000020110F0000EDA6B1F8AB0A72C10FC70D42C9835A41","52.825_-169.944_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Cleveland","United States","\nAVO reported that a small explosion at Cleveland was detected in seismic and infrasound data at 0759 on 13 April; no eruption plume was visible in satellite images. The Aviation Color Code remained at Orange and the Volcano Alert Level remained at Watch.\n"," US Geological Survey Alaska Volcano Observatory (AVO)\n"
8,"0101000020E6100000F0A7C64B37F95F404A0C022B8716FB3F","0101000020110F00000A9493DEB4276B41106F73A15A020741","1.693_127.894_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Dukono","Indonesia","\nBased on analyses of satellite imagery, wind model data, and notices from PVMBG, the Darwin VAAC reported that during 11-16 April ash plumes from Dukono rose to an altitude of 2.1 km (7,000 ft) a.s.l. and drifted mainly NW, W, SW, and NNE.\n"," Darwin Volcanic Ash Advisory Centre (VAAC),Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
9,"0101000020E61000009CC420B0728063402B8716D9CE574940","0101000020110F0000B90096701690704104B889650C0C5941","50.686_156.014_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Ebeko","Russia","\nVolcanologists in Severo-Kurilsk (Paramushir Island), about 7 km E of Ebeko, observed explosions during 7 and 11-12 April that sent ash plumes as high as 1.8 km (5,900 ft) a.s.l. Ashfall was reported in Severo-Kurilsk on 6 April. The Aviation Color Code remained at Orange (the second highest level on a four-color scale).\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
10,"0101000020E6100000B81E85EB51B856C01904560E2DF22C40","0101000020110F0000EF69586ACD4B63C1A655CD247BD93841","14.473_-90.880_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Fuego","Guatemala","\nINSIVUMEH reported that on 9 April a lahar descended the Seca (Santa Teresa) drainage on Fuego?s W flank. The lahar was 10 m wide, 1.5 m deep, and had a consistency similar to cement mix. During 12-13 April explosions generated ash plumes that rose as high as 1 km and drifted 15 km SW and W. Incandescent material was ejected as high as 300 m above the crater rim, and generated avalanches of material in the Seca, Cenizas (SSW), Las Lajas (SE), and Honda (E) ravines. Ash fell in areas downwind including in Santa Sofía (12 km SW), Morelia (9 km SW), Panimaché (8 km SW), (SSW), Las Lajas (SE), and Honda (E) ravines. Ash fell in areas downwind including in Santa Sofía (12 km SW), Morelia (9 km SW), Panimaché (8 km SW), El Porvenir (8 km ENE), and Finca Palo Verde. \n  \nActivity increased on 14 April and remained elevated through 17 April. Moderate-to-strong explosions were detected at a rate of 6-9 per hour, and sometimes produced shock waves that vibrated houses in Morelia and Panimaché. Dense ash plumes rose as high as 1.1 km and drifted 20 km W and S, though winds also carried the ash to higher altitudes to the SE. Incandescent material was ejected as high as 300 m above the crater rim, and generated avalanches of material in the crater area. Ashfall was reported in areas downwind including in Santa Sofía, Morelia, Panimaché I and II, El Porvenir, and Finca Palo Verde. The rate of explosions increased to 7-10 per hour on 16 April; explosions sometimes caused structures in Panimache, Morelia, La Reina, and Alotenango (8 km ENE) to vibrate. A lava flow traveled 1.3 km down the Seca drainage.\n\n\n"," Instituto Nacional de Sismologia, Vulcanologia, Meteorologia, e Hidrologia (INSIVUMEH)\n"
11,"0101000020E61000001904560E2DEE634083C0CAA145064B40","0101000020110F00000DFB209947ED7041FB4D93712C635B41","54.049_159.443_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Karymsky","Russia","\nKVERT reported that a weak thermal anomaly over Karymsky was identified in satellite data on 11 April. The Aviation Color Code remained at Orange (the second highest level on a four-color scale).\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
44,"0101000020E6100000C74B378941C055C08195438B6C672940","0101000020110F00005067431F1F7962C1817F2BBE2AC13541","12.702_-87.004_2018-05-02T03:07:47Z","2018-05-02T03:07:47Z","San Cristobal","Nicaragua","\nINETER reported that at 1320 on 22 April a small explosion at San Cristóbal generated a gas-and-ash plume that rose 800 m and drifted SW, causing ashfall in the La Bolsa region and Hacienda Las Rojas.\n"," Instituto Nicaragüense de Estudios Territoriales (INETER)\n"
1175,"0101000020E6100000AE47E17A1472634091ED7C3F356E4940","0101000020110F0000FB345D89E2837041A8F4C4BD212A5941","50.861_155.565_2019-09-18T04:55:03Z","2019-09-18T04:55:03Z","Alaid","Russia","\nThe Tokyo VAAC reported that on 11 September an ash plume from Alaid identified in satellite images rose to an altitude of 3 km (10,000 ft) a.s.l. and drifted SE.\n"," Tokyo Volcanic Ash Advisory Center (VAAC) \n"
12,"0101000020E610000077BE9F1A2F6963C0B29DEFA7C66B3340","0101000020110F0000E2DF445C547C70C12B8EA98CCAD14041","19.421_-155.287_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Kilauea","United States","\nDuring 11-17 April HVO reported that the lava lake continued to rise, fall, and spatter in Kilauea?s Overlook crater. The lake level was high, with spattering visible from HVO and Jaggar Museum; by 16 April the lake level was 10 m below the rim of the Overlook crater. Surface lava flows were active above Pulama pali. On 11 April a moderate swarm of over 200 earthquakes occurred at depths of 7-9 km below the summit. The largest event was a M 2.4. Seismicity returned to background levels at 0230. Three minor ledge collapses were detected on 12 April, one at 1157 and two just after 1830. Surface lava flows were active above Pulama pali; on 13 April most scattered breakouts were within 2.2 km from Pu'u 'O'o Crater, and one was about 5 km away. \n"," US Geological Survey Hawaiian Volcano Observatory (HVO) \n"
13,"0101000020E6100000A4703D0AD7EB5E40DD24068195832A40","0101000020110F0000A52100E7EC426A41A52BE43AD5B83641","13.257_123.685_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Mayon","Philippines","\nPHIVOLCS reported that during 11-17 April white steam plumes from Mayon drifted NW, WNW, WSW, and SW. Crater incandescence was visible at night. The sulfur dioxide flux was 2,800, 1,918, 1,621, and 1,617 tonnes/day on 11, 12, 13, and 16 April, respectively. The Alert Level remained at 2 (on a 0-5 scale) and PHIVOLCS reminded residents to stay away from the 6-km-radius Permanent Danger Zone and the 7-km Extended Danger Zone on the SSW and ENE flanks.\n"," Philippine Institute of Volcanology and Seismology (PHIVOLCS) \n"
14,"0101000020E6100000022B8716D9F651C06DE7FBA9F1922FC0","0101000020110F0000797D98299B835EC15A63FA4065293BC1","-15.787_-71.857_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Sabancaya","Peru","\nObservatorio Vulcanológico del Sur del IGP (OVS-IGP) and Observatorio Vulcanológico del INGEMMET (OVI) reported that explosive activity at Sabancaya was similar to the previous week; explosions averaged 15 per day during 9-15 April. Seismicity was dominated by long-period events, with signals indicating emissions. Gas-and-ash plumes rose as high as 2.2 km above the crater rim and drifted 30 km NW and SW. Minor ashfall was reported in Huambo and Cabanaconde. The MIROVA system detected three thermal anomalies. The report noted that the public should not to approach the crater within a 12-km radius.\n"," Instituto Geofísico del Perú (IGP),Instituto Geológico Minero y Metalúrgico (INGEMMET)\n"
15,"0101000020E6100000EC51B81E852B6440DD24068195534C40","0101000020110F0000C5E98C10612171412AF92EC84C555D41","56.653_161.360_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Sheveluch","Russia","\nKVERT reported that a weak thermal anomaly over Sheveluch was identified in satellite images during 6 and 10-12 April. The Aviation Color Code remained at Orange.\n"," Kamchatkan Volcanic Eruption Response Team (KVERT)\n"
16,"0101000020E61000000C022B8716F154C0CDCCCCCCCC0C2440","0101000020110F0000D50321792CC961C14F63C400B41D3141","10.025_-83.767_2018-04-18T03:35:22Z","2018-04-18T03:35:22Z","Turrialba","Costa Rica","\nThe Washington VAAC reported that on 11 April an ash emission from Turrialba were seen through an OVSICORI-UNA web camera.\n"," Washington Volcanic Ash Advisory Center (VAAC) \n"
17,"0101000020E6100000B81E85EB51E85F40022B8716D9CEF73F","0101000020110F000070AC84535B196B41E8F26F34F0380441","1.488_127.630_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Ibu","Indonesia","\nPVMBG reported that at 0637 on 20 April an eruption at Ibu generated a gray-white ash plume that rose at least 600 m above the crater rim and drifted S. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to stay at least 2 km away from the active crater, and 3.5 km away on the N side.\n"," Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG, also known as CVGHM)\n"
18,"0101000020E61000009CC420B072C85E406DE7FBA9F1D22440","0101000020110F0000859B4AF1DD246A41343CA913B3C83141","10.412_123.132_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Kanlaon","Philippines","\nPHIVOLCS reported that during 17-19 April dirty-white steam plumes from Kanlaon rose as high as 1.2 km above the crater rim and drifted SW, NW, and NE. White steam plumes rose 300-600 m and drifted SW and NW during 20-24 April. The Alert Level remained at 2 (on a scale of 0-5).\n"," Philippine Institute of Volcanology and Seismology (PHIVOLCS) \n"
19,"0101000020E610000077BE9F1A2F6963C0B29DEFA7C66B3340","0101000020110F0000E2DF445C547C70C12B8EA98CCAD14041","19.421_-155.287_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Kilauea","United States","\nDuring 18-24 April HVO reported that the lava lake continued to rise, fall, and spatter in Kilauea?s Overlook crater. The lake level was high, and by late on 21 April had overflowed the S crater rim. As of midday on 23 April the new flows has covered about 16 ha of the floor, or about 30%. Overflows of the crater rim continued through 24 April, flowing as far as 375 m onto the N, SW, and S parts of the crater floor. HVO noted that the overflows were the first significant ones since May 2015.\n  \nSurface lava flows were active above Pulama pali. On 18 April geologists observed the pit crater on the W side of Pu'u 'O'o Crater, noting that overflows had built up the crater rim to several meters above the crater floor and 7 m higher compared to late March.\n\n\n"," US Geological Survey Hawaiian Volcano Observatory (HVO) \n"
20,"0101000020E6100000DD240681955B6040C976BE9F1AEF3F40","0101000020110F000021B8886608C96B41130CAA1B4DA54C41","31.934_130.862_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Kirishimayama","Japan","\nAn explosive eruption at Iwo-yama (also called Ioyama, NW flank of Karakuni-dake), a stratovolcano of the Kirishimayama volcano group, occurred at 1555 on 19 April prompting JMA to raise the Alert Level to 3 (on a scale of 1-5). This was the first eruption in that area since 1768; frequent and recent activity has occurred from Shinmoedake (Shinmoe peak). Ash plumes rose as high as 500 m above new vents in the SE part of the crater, and a large amount of ejected tephra including boulders were deposited around the crater area. Webcams showed expansion of vents by 2100. A new fumarole was observed at 1630 on 20 April in the vicinity of the highway, on the W side of Iwo-yama. During overflights on 20 and 21 April scientists observed multiple vents with fumarolic emissions, and intermittent ejections of black-gray muddy water. The activity continued through 23 April.\n"," Japan Meteorological Agency (JMA) \n"
21,"0101000020E61000003D0AD7A3708D62409A999999991916C0","0101000020110F0000A76B5ADA66836F41B1C27B2977CC22C1","-5.525_148.420_2018-04-25T03:14:08Z","2018-04-25T03:14:08Z","Langila","Papua New Guinea","\nBased on analyses of satellite imagery and model data, the Darwin VAAC reported that on 24 April an ash plume from Langila rose to an altitude of 4 km (13,000 ft) a.s.l. and drifted SW. An image acquired around six hours later indicated that the ash from the event had dissipated. \n"," Darwin Volcanic Ash Advisory Centre (VAAC)\n"
